"Name";"Level";"Casting Time";"Duration";"School";"Ritual";"Range";"Components";"Classes";"Optional/Variant Classes";"Subclasses";"Text"
"Animowanie zmarłego";"3";"1 Min.";"Natychmiastowy";"Nekromancji";"False";"3m (2)";"W, S, M (kropla krwi, kawałek ciała i szczypta pyłu kostnego)";"Cleric, Wizard";"";"Rogue (Arcane Trickster), Druid (Spores), Bard (Lore), Sorcerer (Divine Soul), Fighter (Eldritch Knight)";"Wybierz stos kości lub zwłoki średniego lub małego humanoida w zasięgu. Cel staje się nieumarłym stworzeniem: szkieletem, jeśli wybrałeś kości, lub zombie, jeśli wybrałeś zwłoki. W każdej swojej turze możesz wykonać dodatkową akcję, aby mentalnie rozkazać dowolnemu stworzeniu, które stworzyłeś za pomocą tego zaklęcia, jeśli stworzenie znajduje się w promieniu 18 m (12) od ciebie (jeśli kontrolujesz wiele stworzeń, możesz rozkazać każdemu z nich w tym samym czasie, wydając to samo polecenie każdemu z nich). Ty decydujesz, jakie działania podejmie stworzenie i gdzie się przemieści w swojej następnej turze, lub możesz wydać ogólne polecenie, takie jak pilnowanie komnaty lub korytarza. Jeśli nie wydasz żadnych poleceń, stwór wykonuje akcję uniku i porusza się tylko w celu uniknięcia obrażeń. Po wydaniu rozkazu stworzenie wykonuje go aż do ukończenia zadania. Stworzenie pozostaje pod twoją kontrolą przez 24 godziny, po czym przestaje być posłuszne poleceniom, które mu wydałeś. Aby utrzymać kontrolę nad stworzeniem przez kolejne 24 godziny, musisz ponownie rzucić na nie to zaklęcie przed upływem bieżącego 24-godzinnego okresu. To użycie zaklęcia przywraca kontrolę nad maksymalnie czterema stworzeniami, które ożywiłeś tym zaklęciem, zamiast ożywiać nowe stworzenie.

Na wyższych poziomach: Użycie slotu na zaklęcie wyższego poziomu. Animujesz lub przywracasz kontrolę nad dwoma dodatkowymi nieumarłymi stworzeniami za każdy slot zaklęć na poziomie wyższym niż 3. Każde z tych stworzeń musi pochodzić z innych zwłok lub stosu kości."
"Animowanie obiektów";"5";"Akcja";"Koncentracja, do 1 min.";"Przemiany";"False";"36m (24)";"W, S";"Bard, Sorcerer, Wizard";"";"Cleric (Forge)";"Przedmioty animują się na twoje polecenie. Wybierz liczbę niemagicznych obiektów w zasięgu, które nie są noszone lub przenoszone, nie są przymocowane do powierzchni i nie są Gargantuiczne. Maksymalna liczba obiektów jest równa twojemu modyfikatorowi umiejętności rzucania czarów; dla tej liczby, Średni lub mniejszy cel liczy się jako jeden obiekt, Duży cel liczy się jako dwa, a Ogromny cel liczy się jako trzy.Każdy cel animuje się, wypuszcza nogi i staje się Konstruktem, który używa bloku statystyk Animowanego Obiektu; ta istota jest pod twoją kontrolą, dopóki zaklęcie się nie skończy lub dopóki nie zostanie zredukowana do 0 punktów wytrzymałości. Każda istota stworzona za pomocą tego zaklęcia jest sojusznikiem dla ciebie i twoich sojuszników. W walce dzieli z tobą twoją Inicjatywę i wykonuje swoją turę natychmiast po tobie. Do końca działania zaklęcia możesz wykonać Akcję Premiową, aby mentalnie dowodzić stworzeniem, które stworzyłeś za pomocą tego zaklęcia, jeśli znajduje się ono w promieniu 150 m (100) od ciebie (jeśli kontrolujesz wiele stworzeń, możesz dowodzić każdym z nich w tym samym czasie, wydając to samo polecenie każdemu z nich). Jeśli nie wydasz żadnych poleceń, stworzenie wykona akcję Unik i poruszy się tylko w celu uniknięcia obrażeń. Gdy liczba punktów wytrzymałości istoty spadnie do 0, powraca ona do swojej formy przedmiotu, a wszelkie pozostałe obrażenia przenoszą się na tę formę.

Na wyższych poziomach: Użycie slotu na zaklęcie wyższego poziomu. Obrażenia od Uderzenia istoty wzrastają o 1d4 (Średnie lub mniejsze), 1d6 (Duże) lub 1d12 (Ogromne) za każdy poziom slotu zaklęć powyżej 5."
"Powłoka przeciwko życiu";"5";"Akcja";"Koncentracja, do 1 godz.";"Odpychania";"False";"Na siebie";"W, S";"Druid";"";"Cleric (Grave)";"Aura rozciąga się od ciebie na 3 m (2) przez cały czas trwania Emanacji. Aura uniemożliwia istotom innym niż Konstrukty i Nieumarli przejście przez nią lub dotarcie do niej. Dotknięta istota może rzucać zaklęcia lub atakować bronią dystansową lub zasięgową przez barierę. Jeśli poruszysz się tak, że dotknięta istota zostanie zmuszona do przejścia przez barierę, zaklęcie wygasa."
"Pole antymagiczne";"8";"Akcja";"Koncentracja, do 1 godz.";"Odpychania";"False";"Na siebie";"W, S, M (opiłki żelaza)";"Cleric, Wizard";"";"Wizard (Abjurer), Sorcerer (Divine Soul)";"Aura antymagiczna otacza cię w promieniu 3 m (2). Nikt nie może rzucać zaklęć, podejmować działań magicznych ani tworzyć innych efektów magicznych wewnątrz aury, a te nie mogą celować ani w inny sposób wpływać na cokolwiek wewnątrz niej. Magiczne właściwości magicznych przedmiotów nie działają wewnątrz aury ani na nic, co się w niej znajduje. Obszary efektów stworzone przez zaklęcia lub inną magię nie mogą rozciągać się na aurę i nikt nie może się do niej teleportować ani z niej wychodzić, ani korzystać z podróży planarnych. Trwające zaklęcia, z wyjątkiem tych rzuconych przez artefakt lub bóstwo, są tłumione na tym obszarze. Podczas gdy efekt jest stłumiony, nie działa, ale czas, w którym jest stłumiony, wlicza się do jego czasu trwania.Rozproszenie Magii nie ma wpływu na aurę, a aury utworzone przez różne zaklęcia Pola Antymagicznego nie unieważniają się nawzajem."
"Antypatia/Sympatia";"8";"1 Hr.";"10 dni";"Uroków";"False";"18m (12)";"W, S, M (mieszanka octu i miodu)";"Bard, Druid, Wizard";"";"";"Podczas rzucania zaklęcia wybierz, czy wywołuje ono antypatię, czy sympatię, i wskaż jedną istotę lub przedmiot o rozmiarze Ogromny lub mniejszy. Następnie określ rodzaj stworzenia, np. czerwone smoki, gobliny lub wampiry. Stworzenie wybranego rodzaju wykonuje rzut obronny Mądrości, gdy znajdzie się w odległości 36 m (24) od celu. Wybór antypatii lub sympatii określa, co stanie się ze stworzeniem, gdy nie uda mu się rzut obronny: Antypatia. Istota otrzymuje stan Przerażenie. Przerażona istota musi użyć swojego ruchu w swoich turach, aby oddalić się jak najdalej od celu, poruszając się najbezpieczniejszą drogą.Sympatia. Stworzenie jest zauroczone. Oczarowana istota musi użyć swojego ruchu w swoich turach, aby zbliżyć się jak najbliżej celu, poruszając się najbezpieczniejszą drogą. Jeśli stworzenie znajduje się w odległości 1,5 m (1) od celu, nie może dobrowolnie się oddalić. Jeśli cel zada obrażenia zauroczonej istocie, może ona wykonać rzut obronny Mądrości, aby zakończyć efekt, jak opisano poniżej. Zakończenie efektu. Jeśli przestraszona lub zauroczona istota zakończy swoją turę w odległości większej niż 36 m (24) od celu, może wykonać rzut obronny na Mądrość. W przypadku udanego rzutu obronnego, istota nie jest już pod wpływem celu. Istota, która pomyślnie obroni się przed tym efektem, jest na niego odporna przez 1 minutę, po czym może zostać ponownie dotknięta."
"Magiczne oko";"4";"Akcja";"Koncentracja, do 1 godz.";"Wieszczenia";"False";"9m (6)";"W, S, M (trochę futra nietoperza)";"Wizard";"";"Rogue (Arcane Trickster), Wizard (Diviner), Sorcerer (Draconic), Fighter (Eldritch Knight), Cleric (Knowledge), Cleric (Light), Ranger (Swarmkeeper)";"Tworzysz niewidzialne, niewrażliwe oko w zasięgu, które unosi się w powietrzu przez cały czas trwania umiejętności. Mentalnie odbierasz informacje wizualne z oka, które widzi w każdym kierunku. Posiada ono również zdolność widzenia w ciemności o zasięgu 9 m (6). Jako akcję premiową możesz przesunąć oko na odległość do 9 m (6) w dowolnym kierunku. Solidna bariera blokuje ruch oka, ale może ono przejść przez otwór o średnicy zaledwie 1 cala."
"Magiczna brama";"6";"Akcja";"Koncentracja, do 10 min.";"Przywoływania";"False";"150m (100)";"W, S";"Sorcerer, Warlock, Wizard";"";"";"Tworzysz połączone portale teleportacyjne. Wybierz dwa duże, niezajęte miejsca na ziemi, które możesz zobaczyć, jedno miejsce w zasięgu, a drugie w odległości 3 m (2) od ciebie. W każdej z tych przestrzeni otwiera się okrągły portal, który pozostaje w niej przez cały czas. Portale są dwuwymiarowymi, świecącymi pierścieniami wypełnionymi mgłą, która blokuje wzrok. Unoszą się kilka centymetrów nad ziemią i są do niej prostopadłe. Portal jest otwarty tylko z jednej strony (ty wybierasz, z której). Wszystko, co wejdzie do otwartej strony portalu, wychodzi z otwartej strony drugiego portalu, tak jakby oba przylegały do siebie. W ramach akcji bonusowej możesz zmienić ustawienie otwartych stron."
"Magiczny zamek";"2";"Akcja";"Do rozproszenia";"Odpychania";"False";"Dotyk";"W, S, M (złoty pył o wartości 25+ GP, który zużywa zaklęcie)";"Wizard";"";"Wizard (Abjurer), Rogue (Arcane Trickster), Bard (Lore), Fighter (Eldritch Knight)";"Dotykasz zamkniętych drzwi, okna, bramy, pojemnika lub włazu i magicznie blokujesz je na określony czas. Blokady tej nie można odblokować żadnymi niemagicznymi środkami. Ty i dowolne istoty wskazane przez ciebie podczas rzucania zaklęcia mogą otwierać i zamykać obiekt pomimo blokady. Możesz również ustawić hasło, które wypowiedziane w odległości 1,5 m (1) od przedmiotu odblokuje go na 1 minutę."
"Magiczny wigor";"2";"Akcja dodatkowa";"Natychmiastowy";"Odpychania";"False";"Na siebie";"W, S";"Sorcerer, Wizard";"";"Wizard (Abjurer), Rogue (Arcane Trickster), Bard (Lore), Fighter (Eldritch Knight)";"Korzystasz ze swojej siły życiowej, aby się uleczyć. Rzuć jedną lub dwiema niewykorzystanymi kośćmi punktów wytrzymałości i odzyskaj liczbę punktów wytrzymałości równą sumie rzutów plus modyfikator zdolności rzucania czarów. Te kości są następnie zużywane.

Na wyższych poziomach: Użycie slotu na zaklęcie wyższego poziomu. Liczba niewykorzystanych kości trafień, które można rzucić, wzrasta o jeden za każdy poziom slotu zaklęć powyżej 2."
"Zbroja Agathys";"1";"Akcja dodatkowa";"1 godz.";"Odpychania";"False";"Na siebie";"W, S, M (odłamek niebieskiego szkła)";"Warlock";"";"Paladin (Conquest)";"Otacza cię ochronny magiczny mróz. Otrzymujesz 5 tymczasowych punktów wytrzymałości. Jeśli istota trafi cię rzutem ataku wręcz przed zakończeniem działania zaklęcia, otrzyma 5 obrażeń od zimna. Zaklęcie kończy się wcześniej, jeśli nie masz tymczasowych punktów wytrzymałości.

Na wyższych poziomach: Użycie slotu na zaklęcie wyższego poziomu. Tymczasowe punkty wytrzymałości i obrażenia od zimna zwiększają się o 5 za każdy slot zaklęć na poziomie wyższym niż 1."
"Broń Hadara";"1";"Akcja";"Natychmiastowy";"Przywoływania";"False";"Na siebie";"W, S";"Warlock";"";"Sorcerer (Aberrant Mind), Sorcerer (Aberrant)";"Przywołując Hadar, sprawiasz, że wyrastają z ciebie wąsy. Każda istota znajdująca się w promieniu 3 m (2) od ciebie wykonuje rzut obronny na Siłę. W przypadku nieudanego rzutu obronnego, cel otrzymuje 2d6 obrażeń nekrotycznych i nie może wykonać Reakcji do początku swojej następnej tury. W przypadku udanego rzutu obronnego cel otrzymuje tylko połowę obrażeń.

Na wyższych poziomach: Użycie slotu na zaklęcie wyższego poziomu. Obrażenia wzrastają o 1d6 za każdy poziom slotu zaklęć powyżej 1."
"Projekcja astralna";"9";"1 Hr.";"Do rozproszenia";"Nekromancji";"False";"3m (2)";"W, S, M (dla każdego celu zaklęcia, jeden żakint o wartości ponad 1000 GP i jedna sztabka srebra o wartości ponad 100 GP, z których wszystkie są zużywane przez zaklęcie.)";"Cleric, Warlock, Wizard";"";"Sorcerer (Divine Soul)";"Ty i do ośmiu chętnych istot w zasięgu rzutujecie swoje ciała astralne na Płaszczyznę Astralną (zaklęcie kończy się natychmiast, jeśli jesteś już na tej płaszczyźnie). Ciało każdego celu zostaje pozostawione w stanie zawieszonej animacji; ma stan nieprzytomności, nie potrzebuje pożywienia ani powietrza i nie starzeje się. Forma astralna celu przypomina jego ciało pod niemal każdym względem, powielając jego statystyki z gry i dobytek. Główną różnicą jest dodanie srebrzystego sznura, który ciągnie się między łopatkami postaci astralnej. Sznur znika z pola widzenia po 0,3 m (0). Jeśli sznur zostanie przecięty - co dzieje się tylko wtedy, gdy efekt to nakazuje - ciało i forma astralna celu umierają. Forma astralna celu może podróżować przez Płaszczyznę Astralną. W momencie, gdy forma astralna opuszcza tę płaszczyznę, ciało i przedmioty celu podróżują wzdłuż srebrnego sznura, powodując, że cel ponownie wchodzi do swojego ciała na nowej płaszczyźnie. Wszelkie obrażenia lub inne efekty, które mają zastosowanie do formy astralnej, nie mają wpływu na ciało celu i odwrotnie. Jeśli ciało lub forma astralna celu spadnie do 0 punktów wytrzymałości, zaklęcie kończy się dla tego celu. Zaklęcie kończy się dla wszystkich celów, jeśli wykonasz akcję Magii, aby je odwołać. Kiedy zaklęcie kończy się dla celu, który nie jest martwy, cel pojawia się ponownie w swoim ciele i wychodzi ze stanu zawieszonej animacji."
"Wróżba";"2";"1 Min.";"Natychmiastowy";"Wieszczenia";"True";"Na siebie";"W, S, M (specjalnie oznaczone patyki, kości, karty lub inne wróżbiarskie żetony o wartości ponad 25 GP)";"Cleric, Druid, Wizard";"";"Rogue (Arcane Trickster), Bard (Lore), Sorcerer (Divine Soul), Wizard (Diviner), Fighter (Eldritch Knight), Cleric (Knowledge), Barbarian (Ancestral Guardian)";"Otrzymujesz omen od istoty z innego świata na temat wyników działań, które planujesz podjąć w ciągu najbliższych 30 minut. DM wybiera omen z tabeli Omeny.OmenyOmenDla wyników, które będą...DobreDobreZłeZłeDobre i złeObojętneNie ani dobre, ani złeZaklęcie nie uwzględnia okoliczności, takich jak inne zaklęcia, które mogą zmienić wyniki.Jeśli rzucisz zaklęcie więcej niż raz przed zakończeniem Długiego Odpoczynku, istnieje skumulowana 25-procentowa szansa na to, że za każdym razem po pierwszym rzuceniu nie otrzymasz odpowiedzi."
"Aura Życia";"4";"Akcja";"Koncentracja, do 10 min.";"Odpychania";"False";"Na siebie";"W";"Cleric, Paladin";"";"Druid (Wildfire), Sorcerer (Divine Soul), Cleric (Life), Cleric (Twilight)";"Aura promieniuje z ciebie na 9 m (6) przez cały czas trwania Emanacji. Podczas przebywania w aurze ty i twoi sojusznicy posiadacie odporność na obrażenia nekrotyczne, a wasze maksymalne punkty wytrzymałości nie mogą zostać zmniejszone. Jeśli sojusznik z 0 punktami wytrzymałości rozpocznie swoją turę w aurze, odzyskuje 1 punkt wytrzymałości."
"Aura czystości";"4";"Akcja";"Koncentracja, do 10 min.";"Odpychania";"False";"Na siebie";"W";"Cleric, Paladin";"";"Artificer (Battle Smith), Sorcerer (Divine Soul), Paladin (Watchers), Cleric (Peace)";"Aura emanuje z ciebie w promieniu 9 m (6) przez cały czas trwania. Podczas przebywania w aurze ty i twoi sojusznicy posiadacie odporność na obrażenia od trucizny oraz przewagę w rzutach na uniknięcie lub zakończenie efektów, które obejmują stan oślepienia, oczarowania, ogłuszenia, przerażenia, sparaliżowania, zatrucia lub ogłuszenia."
"Aura witalności";"3";"Akcja";"Koncentracja, do 1 min.";"Odpychania";"False";"Na siebie";"W";"Cleric, Druid, Paladin";"";"Artificer (Battle Smith), Bard (Lore), Sorcerer (Divine Soul), Cleric (Twilight)";"Aura promieniuje od ciebie na 9 m (6) w czasie trwania Emanacji. Kiedy tworzysz aurę i na początku każdej swojej tury, kiedy ona trwa, możesz przywrócić 2d6 punktów wytrzymałości jednej istocie, która się w niej znajduje."
"Przebudzenie";"5";"8 Hr.";"Natychmiastowy";"Przemiany";"False";"Dotyk";"W, S, M (agat o wartości ponad 1 000 GP, który zużywa zaklęcie)";"Bard, Druid";"";"";"Spędzasz czas rzucania na śledzeniu magicznych ścieżek w cennym kamieniu szlachetnym, a następnie dotykasz celu. Celem musi być bestia lub istota roślinna o inteligencji 3 lub niższej lub naturalna roślina, która nie jest stworzeniem. Cel zyskuje Inteligencję 10 i zdolność mówienia w jednym znanym ci języku. Jeśli cel jest naturalną rośliną, staje się stworzeniem roślinnym i zyskuje zdolność poruszania kończynami, korzeniami, pnączami, pnączami i tak dalej, a także zyskuje zmysły podobne do ludzkich. DM wybiera statystyki odpowiednie dla Przebudzonej Rośliny, takie jak statystyki Przebudzonego Krzewu lub Przebudzonego Drzewa w Podręczniku Potworów. Przebudzony cel posiada stan Urzeczony przez 30 dni lub do momentu, gdy ty lub twoi sojusznicy zadadzą mu obrażenia. Po zakończeniu tego stanu przebudzona istota wybiera swój stosunek do ciebie."
"Zmora";"1";"Akcja";"Koncentracja, do 1 min.";"Uroków";"False";"9m (6)";"W, S, M (kropla krwi)";"Bard, Cleric, Warlock";"";"Bard (Lore), Sorcerer (Divine Soul), Cleric (Grave), Paladin (Vengeance)";"Maksymalnie trzy wybrane przez ciebie istoty, które widzisz w zasięgu, muszą wykonać rzut obronny na Charyzmę. Za każdym razem, gdy cel, który nie wykona rzutu obronnego, wykona rzut ataku lub rzut obronny przed zakończeniem działania zaklęcia, musi odjąć 1d4 od rzutu ataku lub rzutu obronnego.

Na wyższych poziomach: Użycie slotu na zaklęcie wyższego poziomu. Możesz obrać za cel jedną dodatkową istotę za każdy slot zaklęć na poziomie wyższym niż 1."
"Wypędzające Ugodzenie";"5";"Akcja dodatkowa";"Koncentracja, do 1 min.";"Przywoływania";"False";"Na siebie";"W";"Paladin";"";"Artificer (Battle Smith), Warlock (Hexblade)";"Cel trafiony rzutem ataku otrzymuje dodatkowe 5d10 obrażeń od Siły. Jeśli atak zmniejszy obrażenia celu do 50 lub mniej punktów wytrzymałości, cel musi wykonać rzut obronny na Charyzmę lub zostać przeniesiony do nieszkodliwej półprzestrzeni na czas trwania ataku. Podczas przebywania tam, cel ma stan Incapacitated. Po zakończeniu działania zaklęcia cel pojawia się ponownie w miejscu, które opuścił lub w najbliższym wolnym miejscu, jeśli jest ono zajęte."
